"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDEXPRD","TOT","MLN_USD","A","1981",3528.48030733419,
"AUS","GDEXPRD","TOT","MLN_USD","A","1984",4306.08808524387,
"AUS","GDEXPRD","TOT","MLN_USD","A","1986",5287.29705661648,
"AUS","GDEXPRD","TOT","MLN_USD","A","1987",5396.35199891417,
"AUS","GDEXPRD","TOT","MLN_USD","A","1988",5733.00771614531,
"AUS","GDEXPRD","TOT","MLN_USD","A","1990",6404.71206951182,
"AUS","GDEXPRD","TOT","MLN_USD","A","1992",7768.04767935011,
"AUS","GDEXPRD","TOT","MLN_USD","A","1994",8659.21765085622,
"AUS","GDEXPRD","TOT","MLN_USD","A","1996",9802.09466296784,
"AUS","GDEXPRD","TOT","MLN_USD","A","1998",9778.78851879929,
"AUS","GDEXPRD","TOT","MLN_USD","A","2000",10645.325454765,
"AUS","GDEXPRD","TOT","MLN_USD","A","2002",12749.2982354658,
"AUS","GDEXPRD","TOT","MLN_USD","A","2004",14376.7290155599,
"AUS","GDEXPRD","TOT","MLN_USD","A","2006",17766.8299065731,
"AUS","GDEXPRD","TOT","MLN_USD","A","2008",21018.0736819903,
"AUS","GDEXPRD","TOT","MLN_USD","A","2010",21366.6816443911,
"AUS","GDEXPRD","TOT","MLN_USD","A","2011",21522.601176338,
"AUS","GDEXPRD","TOT","MLN_USD","A","2013",22441.0692242811,
"AUS","GDEXPRD","TOT","MLN_USD","A","2015",21157.0766472118,
"AUS","GDEXPRD","TOT","MLN_USD","A","2017",21236.8733829169,
"AUS","GDEXPRD","TOT","MLN_USD","A","2019",21738.7368023472,
"AUT","GDEXPRD","TOT","MLN_USD","A","1981",2366.04635295964,
"AUT","GDEXPRD","TOT","MLN_USD","A","1982",2514.56998280253,
"AUT","GDEXPRD","TOT","MLN_USD","A","1983",2610.25277032357,
"AUT","GDEXPRD","TOT","MLN_USD","A","1984",2725.91399551071,
"AUT","GDEXPRD","TOT","MLN_USD","A","1985",2798.7237825606,
"AUT","GDEXPRD","TOT","MLN_USD","A","1986",2957.31089424752,
"AUT","GDEXPRD","TOT","MLN_USD","A","1987",3015.76962179672,
"AUT","GDEXPRD","TOT","MLN_USD","A","1988",3215.5403565888,
"AUT","GDEXPRD","TOT","MLN_USD","A","1989",3393.31659596151,
"AUT","GDEXPRD","TOT","MLN_USD","A","1990",3666.59314660687,
"AUT","GDEXPRD","TOT","MLN_USD","A","1991",4008.53323353054,
"AUT","GDEXPRD","TOT","MLN_USD","A","1992",4055.54360943465,
"AUT","GDEXPRD","TOT","MLN_USD","A","1993",4125.40208664879,
"AUT","GDEXPRD","TOT","MLN_USD","A","1994",4456.04272460601,
"AUT","GDEXPRD","TOT","MLN_USD","A","1995",4635.6604067906,
"AUT","GDEXPRD","TOT","MLN_USD","A","1996",4902.80088218226,
"AUT","GDEXPRD","TOT","MLN_USD","A","1997",5240.2126700275,
"AUT","GDEXPRD","TOT","MLN_USD","A","1998",5679.24526724512,
"AUT","GDEXPRD","TOT","MLN_USD","A","1999",6267.82119127983,
"AUT","GDEXPRD","TOT","MLN_USD","A","2000",6622.14483774095,
"AUT","GDEXPRD","TOT","MLN_USD","A","2001",7083.24366890752,
"AUT","GDEXPRD","TOT","MLN_USD","A","2002",7467.25550111105,
"AUT","GDEXPRD","TOT","MLN_USD","A","2003",7933.67489558838,
"AUT","GDEXPRD","TOT","MLN_USD","A","2004",8119.03650214408,
"AUT","GDEXPRD","TOT","MLN_USD","A","2005",9094.99376194869,
"AUT","GDEXPRD","TOT","MLN_USD","A","2006",9353.58234652983,
"AUT","GDEXPRD","TOT","MLN_USD","A","2007",9945.70835428377,
